行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
內湖區,樂康里,1,1,26,26,2968,7874,3733,4141
內湖區,內溝里,1,1,17,17,1813,4567,2225,2342
內湖區,週美里,1,1,30,30,4079,9431,4459,4972
內湖區,行善里,1,1,22,22,3084,7175,3478,3697
內湖區,石潭里,1,1,19,19,1995,4164,1958,2206
內湖區,湖興里,1,1,25,25,4268,8522,4164,4358
內湖區,湖元里,1,1,20,20,2779,6506,3093,3413
內湖區,安湖里,1,1,20,20,2696,7799,3709,4090
內湖區,秀湖里,1,1,25,25,2443,5983,2866,3117
內湖區,安泰里,1,1,15,15,2092,5364,2581,2783
內湖區,金湖里,1,1,26,26,4008,10303,4774,5529
內湖區,康寧里,1,1,23,23,3142,9067,4312,4755
內湖區,明湖里,1,1,20,20,1999,5669,2676,2993
內湖區,蘆洲里,1,1,5,5,500,1285,683,602
內湖區,麗山里,1,1,16,16,2361,6143,2901,3242
內湖區,寶湖里,1,1,29,29,4412,9960,4721,5239
內湖區,南湖里,1,1,11,11,2238,5920,2785,3135
士林區,仁勇里,1,1,17,17,1598,3712,1781,1931
士林區,義信里,1,1,14,14,1375,3117,1490,1627
士林區,福林里,1,1,18,18,1276,2890,1407,1483
士林區,福德里,1,1,20,19,2819,5398,2808,2590
士林區,福志里,1,1,24,24,2972,7146,3392,3754
士林區,舊佳里,1,1,22,22,2464,5751,2729,3022
士林區,福佳里,1,1,26,26,3059,7619,3593,4026
士林區,後港里,1,1,26,26,3112,7779,3785,3994
士林區,福中里,1,1,19,19,2553,6602,3199,3403
士林區,前港里,1,1,16,16,1702,4299,2061,2238
士林區,百齡里,1,1,27,27,2485,6561,3189,3372
士林區,承德里,1,1,21,21,2424,5483,2522,2961
士林區,福華里,1,1,28,28,2572,5968,2851,3117
士林區,明勝里,1,1,18,18,1962,4691,2260,2431
士林區,福順里,1,1,17,17,2161,5251,2569,2682
士林區,富光里,1,1,25,25,2215,5882,2846,3036
士林區,葫蘆里,1,1,28,28,2828,7167,3441,3726
士林區,葫東里,1,1,13,13,1622,3950,1892,2058
士林區,社子里,1,1,23,23,2522,6371,3113,3258
士林區,社新里,1,1,29,29,3463,8753,4316,4437
士林區,社園里,1,1,26,26,2643,7058,3482,3576
士林區,永倫里,1,1,23,23,2788,6721,3352,3369
士林區,福安里,1,1,12,12,2090,4849,2564,2285
士林區,富洲里,1,1,17,17,3039,6044,3130,2914
士林區,岩山里,1,1,15,15,1279,3351,1564,1787
士林區,名山里,1,1,25,25,2670,7017,3214,3803
士林區,德行里,1,1,16,16,1914,4388,2044,2344
士林區,德華里,1,1,19,19,2268,5527,2551,2976
士林區,聖山里,1,1,22,22,1963,5042,2332,2710
士林區,忠誠里,1,1,25,25,2186,5336,2479,2857
士林區,芝山里,1,1,30,30,2860,7565,3584,3981
士林區,東山里,1,1,22,22,1835,5065,2426,2639
士林區,三玉里,1,1,21,21,2238,5801,2710,3091
士林區,蘭雅里,1,1,25,25,3463,8762,4031,4731
士林區,蘭興里,1,1,19,19,2501,6327,2934,3393
士林區,天福里,1,1,20,20,2426,6447,2987,3460
士林區,天祿里,1,1,16,16,1965,5156,2390,2766
士林區,天壽里,1,1,16,16,2000,5092,2360,2732
士林區,天和里,1,1,21,21,2780,7439,3565,3874
士林區,天山里,1,1,20,20,2704,6842,3153,3689
士林區,天玉里,1,1,29,29,3511,8860,4046,4814
士林區,天母里,1,1,20,20,2599,6694,3120,3574
士林區,永福里,1,1,10,10,458,1201,584,617
士林區,公館里,1,1,9,9,528,1316,678,638
士林區,新安里,1,1,10,10,741,1845,921,924
士林區,陽明里,1,1,23,23,1456,2914,1434,1480
士林區,菁山里,1,1,10,10,582,1509,829,680
士林區,平等里,1,1,10,10,558,1458,739,719
士林區,溪山里,1,1,10,10,590,1481,755,726
士林區,翠山里,1,1,12,12,1175,2578,1202,1376
士林區,臨溪里,1,1,12,12,1180,2766,1361,1405
北投區,建民里,1,1,20,19,1891,4417,2079,2338
北投區,文林里,1,1,20,20,1808,4291,2066,2225
北投區,石牌里,1,1,16,16,2082,4976,2331,2645
北投區,福興里,1,1,20,20,2783,7317,3465,3852
北投區,榮光里,1,1,24,24,2790,7598,3607,3991
北投區,榮華里,1,1,21,21,2997,7381,3417,3964
北投區,裕民里,1,1,24,24,3229,7816,3637,4179
北投區,振華里,1,1,27,27,2938,7509,3556,3953
北投區,永和里,1,1,24,24,3840,9455,4463,4992
北投區,永欣里,1,1,23,23,3693,8432,3844,4588
北投區,永明里,1,1,12,12,1882,5022,2342,2680
北投區,東華里,1,1,18,18,1665,4545,2147,2398
北投區,吉利里,1,1,23,23,2668,7272,3367,3905
北投區,吉慶里,1,1,18,18,1977,5446,2593,2853
北投區,尊賢里,1,1,20,20,1815,4952,2334,2618
北投區,立賢里,1,1,16,16,2068,5671,2694,2977
北投區,立農里,1,1,25,25,628,9588,4526,5062
北投區,八仙里,1	,1,18,18,2170,5317,2537,2780
北投區,洲美里,1	,1,5,5,902,2499	,1230,1269
北投區,奇岩里,1	,1,28,28,4809,11154,5305,5849
北投區,清江里,1	,1,27,27,4543,9461,4827,4634
北投區,中央里,1	,1,28,28,3319,7927,3799,4128
北投區,長安里,1	,1,23,23,2777,5960,2742,3218
北投區,大同里,1	,1,18,18,2259,5354,2569,2785
北投區,溫泉里,1	,1,23,23,2766,6360,2969,3391
北投區,林泉里,1	,1,17,17,1494,2958,1472,1486
北投區,中心里,1	,1,21,20,3170,6442,2957,3485
北投區,中庸里,1	,1,15,15,1640,3816,1835,1981
北投區,開明里,1	,1,26,26,2674,6416,3037,3379
北投區,中和里,1	,1,19,19,1977,4656,2202,2454
北投區,智仁里,1	,1,21,21,2291,5845,2752,3093
北投區,秀山里,1	,1,15,15,1218,3121,1492,1629
北投區,文化里,1	,1,14,14,1613,3987,1949,2038
北投區,豐年里,1	,1,16,16,1634,4216,2044,2172
北投區,稻香里,1	,1,16,16,2356,5410,2630,2780
北投區,桃源里,1	,1,17,17,2403,5803,2822,2981
北投區,一德里,1	,1,23,23,2964,7395,3545,3850
北投區,關渡里,1	,1,28,28,4236,10790,5197,5593
北投區,泉源里,1	,1,16,16,864,2271,1190,1081
北投區,湖山里,1	,1,18,18,653,1477,791,686
北投區,大屯里,1	,1,10,10,438,1200,641,559
北投區,湖田里,1,1,10,10,370,856466,390
